id,word,roles,and_roles,root,aor,imp,inf
3,"ОКАЗЫВАТЬСЯ, ПОПАДАТЬ",<кто:ном; где:лок>,,√=Vkᵂ'o,"1 wukᵂ'o/H, 1 pl wok'o, 2 jikᵂ'o, 2pl jokᵂ'o","1 wukᵂ'ob/H, 1pl wokᵂ'obul",1 wuk'udu/HHL
4,ОСТАВАТЬСЯ,<кто:ном>,,√=ek:u,"1 wok:u, 2 jek:u",wok:ub,1 wok:udu
5,ОСТАВЛЯТЬ,<кто:эрг; что:ном>,,√=eta,"1sg/pl wota, 2sg/pl jeta",1 woto,1 wod:u
6,"ТЕРЯТЬСЯ, ИСЧЕЗАТЬ",<что:ном>,,√=Vt'u,"2 jit'u/HL, 2pl jot'u",1 wut'ub/HL,1 wut'udu/HL
8,ПРЯТАТЬСЯ,<кто:ном>,,√=eq'aš:i,2sg/pl jeq'aš:i/HL,1 woq'aš:ib/HL,1 woq'aš:du/HL
9,ПРЯТАТЬ,<кто:эрг; что:ном>,,√=eq'aš:i,2sg/pl jeq'aš:i/HL,5 beq'aš:o/HL,1 woq'aš:du/HL
10,ИСКАТЬ,<кто:эрг; что:ном>,,√kusdi,kusdi/HL,kusdo/HL,kusdu/HL
11,НАХОДИТЬ (случайно),<кто:дат; что:ном>,<афф; ном> ,√=Vson,"1 wuson/L, 1pl woson, 2 jison",3 bisom/L,3 bisonnu/L
12,ДАВАТЬ,<кто:эрг; что:ном; кому:дат>,,√ič:i,ič:i/HL,ič:o/HL,ič:idu/HL
13,ПРОДАВАТЬ,<кто:эрг; что:ном>,,√=aXoɬi,4sg/pl raXoɬi/HHL,5 baXoɬo/HHL,5 baXollu/HHL
14,БРАТЬ,<кто:эрг; что:ном>,,√=VXi,"5 biXi/L, 5pl boXi",5 biXo/L,5 biXidu/L
15,ПОКУПАТЬ,<кто:эрг; что:ном>,,√=VXi,"5 biXi/L, 5pl boXi",5 biXo/L,5 biXidu/L
16,"ОТНИМАТЬ, ОТБИРАТЬ",<кто:эрг; что:ном>,,√=Vlon,"2 jilon/H, 2pl jolon, 4 rulon","1 wulom/H, 1pl wolom",1 wulinnu/HHL
17,ВЫБИРАТЬ,<кто:эрг; что:ном>,,√=oč'a,2sg/pl joč'a/HL,5 boč'o/HL,5 boc'idu/HL
18,МЕНЯТЬ,<кто:эрг; что:ном>,<что:ном> ,√=eršo,5 beršo/H,5 beršob/H,5 beršidu/HHL
19,"ЛОВИТЬ, ХВАТАТЬ, ДЕРЖАТЬ",<кто:эрг; кого:ном>,,√=Vč:i,"1 wuči/L, 1pl woč:i, 3 bič:i",1 wuč:o/L,1 wuč:idu/L
20,ПРОИГРЫВАТЬ,<кто:ном; кому:лок>,,√=VRan,"2 jiRan/H, 2pl jaRan","1 wuRam/H, 1pl waRamul",1 wuRinnu/HHL
21,ВЫИГРЫВАТЬ,<кто:эрг; у кого:ном>,<ном; лок> ,√=Vša,"1 wuša/L, 2 jiša, 2pl jaša","2 jišab/L, 2pl jašabul",1 wušidu/L
22,ИДТИ,<кто:ном>,,√=Vlon,"2 jilon/H, 2pl jolon, 4 rulon","1 wulom/H, 1pl wolom",1 wulinnu/HHL
23,УХОДИТЬ,<кто:ном>,,√=Vlon,"2 jilon/H, 2pl jolon, 4 rulon","1 wulom/H, 1pl wolom",1 wulinnu/HHL
24,ПРИХОДИТЬ,<кто:ном>,,√=VGᵂo,"2 jiGᵂo/LH, 3 biGᵂo, 2pl joGo","1 wuGᵂob/LH, 1pl wuGᵂobul",1 wuGidu/LHL
25,"ДОЙТИ, ДОСТИЧЬ",<кто:ном>,,√eqo,"1sg/pl woqo/H, 2sg/pl jeqo","1 woqob/H, 1pl woqobul",2 jeqidu/HHL
26,ВХОДИТЬ,<кто:ном>,,√kabdi,kabdi,kabdib,kabdu
28,СОБИРАТЬСЯ,<кто:ном>,,√=ak'arundi,5pl bak'arunni/HHL,1pl wak'arunnibul/HHL,5pl bak'arunnu/HHL
29,СОБИРАТЬ,<кто:эрг; что:ном>,,√=ak'arundi,5pl bak'arunni/HHL,3 bak'arunno/HHL,5pl bak'arunnu/HHL
30,"ПУСКАТЬ, ОТПУСКАТЬ",<кто:эрг; кого:ном>,,√elta,elta,elto,eld:u
